SubjID,Run,Order,ItemNumber,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
debug,1,C,56,0,0.12,Patient,1,Lily Triangle is being shaken by Melissa Oval.,Melissa,Oval,Lily,Triangle
debug,1,C,N/A,0.12599999998929,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,1,0.285999999963678,0.12,Agent,1,Lily Triangle is being stopped by Kyle Square.,Kyle,Square,Lily,Triangle
debug,1,C,N/A,0.411999999952968,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,60,0.451999999932013,0.12,Patient,1,Zach Star is being balanced by Melissa Oval.,Melissa,Oval,Zach,Star
debug,1,C,N/A,0.577999999921303,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,53,0.657999999937601,0.12,Patient,0,Melissa Oval is rolling Lily Triangle.,Melissa,Oval,Lily,Triangle
debug,1,C,N/A,0.783999999926891,0.48,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,27,1.26399999990826,0.12,Patient,0,Lily Triangle is shaking Melissa Oval.,Lily,Triangle,Melissa,Oval
debug,1,C,42,1.38999999989755,0.12,Patient,1,Melissa Oval is being shaken by Zach Star.,Zach,Star,Melissa,Oval
debug,1,C,N/A,1.51599999988684,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,43,1.59599999990314,0.12,Agent,1,Kyle Square is being balanced by Zach Star.,Zach,Star,Kyle,Square
debug,1,C,N/A,1.72199999989243,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,53,1.84199999988778,0.12,Agent,0,Melissa Oval is rolling Lily Triangle.,Melissa,Oval,Lily,Triangle
debug,1,C,N/A,1.96799999987707,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,60,2.20799999986775,0.12,Agent,1,Zach Star is being balanced by Melissa Oval.,Melissa,Oval,Zach,Star
debug,1,C,N/A,2.33399999985704,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,46,2.41399999987334,0.12,Patient,0,Melissa Oval is stopping Kyle Square.,Melissa,Oval,Kyle,Square
debug,1,C,N/A,2.53999999986263,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,15,2.57999999984168,0.12,Agent,0,Kyle Square is balancing Melissa Oval.,Kyle,Square,Melissa,Oval
debug,1,C,13,2.70599999983096,0.12,Agent,1,Lily Triangle is being balanced by Kyle Square.,Kyle,Square,Lily,Triangle
debug,1,C,N/A,2.83199999982025,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,57,3.0319999998319,0.12,Patient,1,Zach Star is being shaken by Melissa Oval.,Melissa,Oval,Zach,Star
debug,1,C,N/A,3.15799999982119,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,17,3.27799999981653,0.12,Patient,1,Zach Star is being stopped by Lily Triangle.,Lily,Triangle,Zach,Star
debug,1,C,N/A,3.40399999980582,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,25,3.56399999978021,0.12,Patient,0,Lily Triangle is shaking Kyle Square.,Lily,Triangle,Kyle,Square
debug,1,C,N/A,3.6899999997695,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,55,3.92999999976018,0.12,Agent,0,Melissa Oval is shaking Kyle Square.,Melissa,Oval,Kyle,Square
debug,1,C,N/A,4.05599999974947,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,10,4.09599999972852,0.12,Patient,0,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle
debug,1,C,N/A,4.22199999971781,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,7,4.26199999969685,0.12,Patient,1,Lily Triangle is being rolled by Kyle Square.,Kyle,Square,Lily,Triangle
debug,1,C,N/A,4.38799999968614,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,45,4.62799999967683,0.12,Patient,0,Zach Star is balancing Melissa Oval.,Zach,Star,Melissa,Oval
debug,1,C,N/A,4.75399999966612,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,55,4.83399999968242,0.12,Patient,0,Melissa Oval is shaking Kyle Square.,Melissa,Oval,Kyle,Square
debug,1,C,N/A,4.95999999967171,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,34,5.07999999966705,0.12,Agent,1,Kyle Square is being bounced by Zach Star.,Zach,Star,Kyle,Square
debug,1,C,N/A,5.20599999965634,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,37,5.24599999963539,0.12,Agent,1,Kyle Square is being rolled by Zach Star.,Zach,Star,Kyle,Square
debug,1,C,5,5.37199999962468,0.12,Agent,0,Kyle Square is bouncing Zach Star.,Kyle,Square,Zach,Star
debug,1,C,N/A,5.49799999961397,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,52,5.57799999963026,0.12,Patient,0,Melissa Oval is rolling Kyle Square.,Melissa,Oval,Kyle,Square
debug,1,C,N/A,5.70399999961955,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,50,5.7439999995986,0.12,Patient,0,Melissa Oval is bouncing Lily Triangle.,Melissa,Oval,Lily,Triangle
debug,1,C,N/A,5.86999999958789,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,49,5.90999999956694,0.12,Agent,1,Kyle Square is being bounced by Melissa Oval.,Melissa,Oval,Kyle,Square
debug,1,C,N/A,6.03599999955622,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,39,6.15599999955157,0.12,Patient,1,Melissa Oval is being rolled by Zach Star.,Zach,Star,Melissa,Oval
debug,1,C,34,6.28199999954086,0.12,Patient,1,Kyle Square is being bounced by Zach Star.,Zach,Star,Kyle,Square
debug,1,C,N/A,6.40799999953015,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,30,6.52799999952549,0.12,Patient,1,Melissa Oval is being balanced by Lily Triangle.,Lily,Triangle,Melissa,Oval
debug,1,C,N/A,6.65399999951478,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,14,6.73399999953108,0.12,Agent,0,Kyle Square is balancing Zach Star.,Kyle,Square,Zach,Star
debug,1,C,32,6.85999999952037,0.12,Patient,0,Zach Star is stopping Lily Triangle.,Zach,Star,Lily,Triangle
debug,1,C,N/A,6.98599999950966,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,16,7.14599999948405,0.12,Agent,0,Lily Triangle is stopping Kyle Square.,Lily,Triangle,Kyle,Square
debug,1,C,40,7.27199999947334,0.12,Agent,1,Kyle Square is being shaken by Zach Star.,Zach,Star,Kyle,Square
debug,1,C,N/A,7.39799999946263,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,24,7.59799999947427,0.12,Agent,1,Melissa Oval is being rolled by Lily Triangle.,Lily,Triangle,Melissa,Oval
debug,1,C,N/A,7.72399999946356,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,50,7.96399999945424,0.12,Agent,0,Melissa Oval is bouncing Lily Triangle.,Melissa,Oval,Lily,Triangle
debug,1,C,N/A,8.08999999944353,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,26,8.28999999945518,0.12,Agent,0,Lily Triangle is shaking Zach Star.,Lily,Triangle,Zach,Star
debug,1,C,N/A,8.41599999944447,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,35,8.57599999941885,0.12,Patient,1,Lily Triangle is being bounced by Zach Star.,Zach,Star,Lily,Triangle
debug,1,C,N/A,8.70199999940814,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,18,8.82199999940349,0.12,Agent,1,Melissa Oval is being stopped by Lily Triangle.,Lily,Triangle,Melissa,Oval
debug,1,C,N/A,8.94799999939278,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,59,9.02799999940908,0.12,Agent,0,Melissa Oval is balancing Lily Triangle.,Melissa,Oval,Lily,Triangle
debug,1,C,N/A,9.15399999939837,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,39,9.19399999937741,0.12,Agent,1,Melissa Oval is being rolled by Zach Star.,Zach,Star,Melissa,Oval
debug,1,C,N/A,9.3199999993667,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,43,9.47999999934109,0.12,Patient,1,Kyle Square is being balanced by Zach Star.,Zach,Star,Kyle,Square
debug,1,C,N/A,9.60599999933038,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,58,9.64599999930942,0.12,Agent,0,Melissa Oval is balancing Kyle Square.,Melissa,Oval,Kyle,Square
debug,1,C,N/A,9.77199999929871,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,17,9.9319999992731,0.12,Agent,1,Zach Star is being stopped by Lily Triangle.,Lily,Triangle,Zach,Star
debug,1,C,N/A,10.0579999992624,0.28,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,20,10.3379999992903,0.12,Agent,0,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star
debug,1,C,N/A,10.4639999992796,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,28,10.583999999275,0.12,Patient,1,Kyle Square is being balanced by Lily Triangle.,Lily,Triangle,Kyle,Square
debug,1,C,N/A,10.7099999992643,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,25,10.9499999992549,0.12,Agent,0,Lily Triangle is shaking Kyle Square.,Lily,Triangle,Kyle,Square
debug,1,C,N/A,11.0759999992442,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,36,11.2759999992559,0.12,Patient,0,Zach Star is bouncing Melissa Oval.,Zach,Star,Melissa,Oval
debug,1,C,N/A,11.4019999992452,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,19,11.4819999992615,0.12,Agent,0,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square
debug,1,C,N/A,11.6079999992508,0.36,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,41,11.9679999992368,0.12,Agent,1,Lily Triangle is being shaken by Zach Star.,Zach,Star,Lily,Triangle
debug,1,C,N/A,12.0939999992261,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,5,12.2139999992214,0.12,Patient,0,Kyle Square is bouncing Zach Star.,Kyle,Square,Zach,Star
debug,1,C,41,12.3399999992107,0.12,Patient,1,Lily Triangle is being shaken by Zach Star.,Zach,Star,Lily,Triangle
debug,1,C,N/A,12.4659999992,0.36,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,6,12.825999999186,0.12,Patient,0,Kyle Square is bouncing Melissa Oval.,Kyle,Square,Melissa,Oval
debug,1,C,N/A,12.9519999991753,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,21,13.151999999187,0.12,Patient,0,Lily Triangle is bouncing Melissa Oval.,Lily,Triangle,Melissa,Oval
debug,1,C,N/A,13.2779999991762,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,48,13.4379999991506,0.12,Patient,1,Zach Star is being stopped by Melissa Oval.,Melissa,Oval,Zach,Star
debug,1,C,N/A,13.5639999991399,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,8,13.7239999991143,0.12,Patient,1,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star
debug,1,C,46,13.8499999991036,0.12,Agent,0,Melissa Oval is stopping Kyle Square.,Melissa,Oval,Kyle,Square
debug,1,C,23,13.9759999990929,0.12,Patient,0,Lily Triangle is rolling Zach Star.,Lily,Triangle,Zach,Star
debug,1,C,N/A,14.1019999990822,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,1,14.2219999990775,0.12,Patient,1,Lily Triangle is being stopped by Kyle Square.,Kyle,Square,Lily,Triangle
debug,1,C,N/A,14.3479999990668,0.28,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,47,14.6279999990948,0.12,Patient,1,Lily Triangle is being stopped by Melissa Oval.,Melissa,Oval,Lily,Triangle
debug,1,C,N/A,14.753999999084,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,38,14.7939999990631,0.12,Patient,0,Zach Star is rolling Lily Triangle.,Zach,Star,Lily,Triangle
debug,1,C,N/A,14.9199999990524,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,54,15.1599999990431,0.12,Agent,0,Melissa Oval is rolling Zach Star.,Melissa,Oval,Zach,Star
debug,1,C,N/A,15.2859999990324,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,44,15.4459999990067,0.12,Patient,1,Lily Triangle is being balanced by Zach Star.,Zach,Star,Lily,Triangle
debug,1,C,N/A,15.571999998996,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,33,15.6519999990123,0.12,Agent,1,Melissa Oval is being stopped by Zach Star.,Zach,Star,Melissa,Oval
debug,1,C,N/A,15.7779999990016,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,28,15.9779999990133,0.12,Agent,1,Kyle Square is being balanced by Lily Triangle.,Lily,Triangle,Kyle,Square
debug,1,C,37,16.1039999990026,0.12,Patient,1,Kyle Square is being rolled by Zach Star.,Zach,Star,Kyle,Square
debug,1,C,35,16.2299999989918,0.12,Agent,1,Lily Triangle is being bounced by Zach Star.,Zach,Star,Lily,Triangle
debug,1,C,N/A,16.3559999989811,0.28,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,59,16.6359999990091,0.12,Patient,0,Melissa Oval is balancing Lily Triangle.,Melissa,Oval,Lily,Triangle
debug,1,C,N/A,16.7619999989984,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,20,16.9219999989728,0.12,Patient,0,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star
debug,1,C,56,17.047999998962,0.12,Agent,1,Lily Triangle is being shaken by Melissa Oval.,Melissa,Oval,Lily,Triangle
debug,1,C,N/A,17.1739999989513,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,3,17.2939999989467,0.12,Agent,1,Melissa Oval is being stopped by Kyle Square.,Kyle,Square,Melissa,Oval
debug,1,C,N/A,17.419999998936,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,7,17.4999999989523,0.12,Agent,1,Lily Triangle is being rolled by Kyle Square.,Kyle,Square,Lily,Triangle
debug,1,C,N/A,17.6259999989416,0.36,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,44,17.9859999989276,0.12,Agent,1,Lily Triangle is being balanced by Zach Star.,Zach,Star,Lily,Triangle
debug,1,C,N/A,18.1119999989169,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,27,18.3119999989285,0.12,Agent,0,Lily Triangle is shaking Melissa Oval.,Lily,Triangle,Melissa,Oval
debug,1,C,N/A,18.4379999989178,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,33,18.4779999988968,0.12,Patient,1,Melissa Oval is being stopped by Zach Star.,Zach,Star,Melissa,Oval
debug,1,C,11,18.6039999988861,0.12,Patient,1,Zach Star is being shaken by Kyle Square.,Kyle,Square,Zach,Star
debug,1,C,N/A,18.7299999988754,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,1,C,31,18.7699999988545,0.12,Agent,0,Zach Star is stopping Kyle Square.,Zach,Star,Kyle,Square
debug,1,C,N/A,18.8959999988438,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
