SubjID,Run,Order,ItemNumber,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
debug,2,B,53,0,0.12,Agent,0,Melissa Oval is rolling Lily Triangle.,Melissa,Oval,Lily,Triangle
debug,2,B,N/A,0.12599999998929,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,B,52,0.165999999968335,0.12,Patient,1,Kyle Square is being rolled by Melissa Oval.,Melissa,Oval,Kyle,Square
debug,2,B,N/A,0.291999999957625,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,B,48,0.371999999973923,0.12,Agent,1,Zach Star is being stopped by Melissa Oval.,Melissa,Oval,Zach,Star
debug,2,B,N/A,0.497999999963213,0.28,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,B,18,0.777999999991152,0.12,Patient,0,Lily Triangle is stopping Melissa Oval.,Lily,Triangle,Melissa,Oval
debug,2,B,N/A,0.903999999980442,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,B,21,0.943999999959487,0.12,Patient,0,Lily Triangle is bouncing Melissa Oval.,Lily,Triangle,Melissa,Oval
debug,2,B,N/A,1.06999999994878,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,B,39,1.22999999992317,0.12,Agent,1,Melissa Oval is being rolled by Zach Star.,Zach,Star,Melissa,Oval
debug,2,B,23,1.35599999991246,0.12,Patient,1,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star
debug,2,B,N/A,1.48199999990175,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,B,11,1.56199999991804,0.12,Agent,1,Zach Star is being shaken by Kyle Square.,Kyle,Square,Zach,Star
debug,2,B,N/A,1.68799999990733,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,B,59,1.76799999992363,0.12,Agent,1,Lily Triangle is being balanced by Melissa Oval.,Melissa,Oval,Lily,Triangle
debug,2,B,N/A,1.89399999991292,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,B,29,2.05399999988731,0.12,Patient,1,Zach Star is being balanced by Lily Triangle.,Lily,Triangle,Zach,Star
debug,2,B,N/A,2.1799999998766,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,B,49,2.41999999986729,0.12,Patient,1,Kyle Square is being bounced by Melissa Oval.,Melissa,Oval,Kyle,Square
debug,2,B,N/A,2.54599999985658,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,B,23,2.66599999985192,0.12,Agent,1,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star
debug,2,B,N/A,2.79199999984121,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,B,25,2.91199999983655,0.12,Agent,1,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square
debug,2,B,N/A,3.03799999982584,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,B,12,3.19799999980023,0.12,Patient,0,Kyle Square is shaking Melissa Oval.,Kyle,Square,Melissa,Oval
debug,2,B,N/A,3.32399999978952,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,B,57,3.40399999980582,0.12,Patient,0,Melissa Oval is shaking Zach Star.,Melissa,Oval,Zach,Star
debug,2,B,3,3.52999999979511,0.12,Patient,1,Melissa Oval is being stopped by Kyle Square.,Kyle,Square,Melissa,Oval
debug,2,B,N/A,3.6559999997844,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,B,33,3.77599999977974,0.12,Agent,0,Zach Star is stopping Melissa Oval.,Zach,Star,Melissa,Oval
debug,2,B,N/A,3.90199999976903,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
