SubjID,Run,Order,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
reference,2,B,0,0.6,Agent,0,Melissa Oval is rolling Lily Triangle.,Melissa,Oval,Lily,Triangle
reference,2,B,0.614999999997963,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,0.81499999999869,0.6,Patient,1,Kyle Square is being rolled by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,2,B,1.42999999999665,0.4,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,1.82999999999811,0.6,Agent,1,Zach Star is being stopped by Melissa Oval.,Melissa,Oval,Zach,Star
reference,2,B,2.44499999999607,1.4,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,3.84499999999753,0.6,Patient,0,Lily Triangle is stopping Melissa Oval.,Lily,Triangle,Melissa,Oval
reference,2,B,4.45999999999549,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,4.65999999999622,0.6,Patient,0,Lily Triangle is bouncing Melissa Oval.,Lily,Triangle,Melissa,Oval
reference,2,B,5.27499999999418,0.8,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,6.07499999999345,0.6,Agent,1,Melissa Oval is being rolled by Zach Star.,Zach,Star,Melissa,Oval
reference,2,B,6.68999999999141,0.6,Patient,1,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star
reference,2,B,7.30499999998938,0.4,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,7.70499999999083,0.6,Agent,1,Zach Star is being shaken by Kyle Square.,Kyle,Square,Zach,Star
reference,2,B,8.3199999999888,0.4,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,8.71999999999025,0.6,Agent,1,Lily Triangle is being balanced by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,2,B,9.33499999998821,0.8,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,10.1349999999875,0.6,Patient,1,Zach Star is being balanced by Lily Triangle.,Lily,Triangle,Zach,Star
reference,2,B,10.7499999999854,1.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,11.9499999999862,0.6,Patient,1,Kyle Square is being bounced by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,2,B,12.5649999999841,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,13.1649999999827,0.6,Agent,1,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star
reference,2,B,13.7799999999806,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,14.3799999999792,0.6,Agent,1,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square
reference,2,B,14.9949999999772,0.8,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,15.7949999999764,0.6,Patient,0,Kyle Square is shaking Melissa Oval.,Kyle,Square,Melissa,Oval
reference,2,B,16.4099999999744,0.4,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,16.8099999999758,0.6,Patient,0,Melissa Oval is shaking Zach Star.,Melissa,Oval,Zach,Star
reference,2,B,17.4249999999738,0.6,Patient,1,Melissa Oval is being stopped by Kyle Square.,Kyle,Square,Melissa,Oval
reference,2,B,18.0399999999718,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,18.6399999999703,0.6,Agent,0,Zach Star is stopping Melissa Oval.,Zach,Star,Melissa,Oval
reference,2,B,19.2549999999683,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,19.8549999999668,0.6,Agent,1,Kyle Square is being balanced by Lily Triangle.,Lily,Triangle,Kyle,Square
reference,2,B,20.4699999999648,0.4,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,20.8699999999662,0.6,Agent,0,Lily Triangle is shaking Zach Star.,Lily,Triangle,Zach,Star
reference,2,B,21.4849999999642,2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,23.4849999999642,0.6,Agent,1,Lily Triangle is being shaken by Kyle Square.,Kyle,Square,Lily,Triangle
reference,2,B,24.0999999999622,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,24.6999999999607,0.6,Patient,0,Melissa Oval is shaking Lily Triangle.,Melissa,Oval,Lily,Triangle
reference,2,B,25.3149999999587,1.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,26.9149999999572,0.6,Patient,1,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square
reference,2,B,27.5299999999552,0.6,Patient,1,Kyle Square is being bounced by Zach Star.,Zach,Star,Kyle,Square
reference,2,B,28.1449999999531,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,28.7449999999517,0.6,Patient,1,Melissa Oval is being balanced by Zach Star.,Zach,Star,Melissa,Oval
reference,2,B,29.3599999999497,1.4,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,B,30.7599999999511,0.6,Patient,0,Kyle Square is balancing Melissa Oval.,Kyle,Square,Melissa,Oval
reference,2,B,31.3749999999491,0.6,Patient,1,Lily Triangle is being stopped by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,2,B,31.989999999947,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
