SubjID,Run,Order,ItemNumber,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
reference,1,C,56,0,0.12,Patient,1,Lily Triangle is being shaken by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,1,C,N/A,0.12599999998929,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,1,0.285999999992782,0.12,Agent,1,Lily Triangle is being stopped by Kyle Square.,Kyle,Square,Lily,Triangle
reference,1,C,N/A,0.411999999982072,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,60,0.451999999975669,0.12,Patient,1,Zach Star is being balanced by Melissa Oval.,Melissa,Oval,Zach,Star
reference,1,C,N/A,0.577999999964959,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,53,0.657999999966705,0.12,Patient,0,Melissa Oval is rolling Lily Triangle.,Melissa,Oval,Lily,Triangle
reference,1,C,N/A,0.783999999955995,0.48,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,27,1.26399999995192,0.12,Patient,0,Lily Triangle is shaking Melissa Oval.,Lily,Triangle,Melissa,Oval
reference,1,C,42,1.38999999994121,0.12,Patient,1,Melissa Oval is being shaken by Zach Star.,Zach,Star,Melissa,Oval
reference,1,C,N/A,1.5159999999305,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,43,1.59599999993225,0.12,Agent,1,Kyle Square is being balanced by Zach Star.,Zach,Star,Kyle,Square
reference,1,C,N/A,1.72199999992154,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,53,1.84199999991688,0.12,Agent,0,Melissa Oval is rolling Lily Triangle.,Melissa,Oval,Lily,Triangle
reference,1,C,N/A,1.96799999990617,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,60,2.20799999991141,0.12,Agent,1,Zach Star is being balanced by Melissa Oval.,Melissa,Oval,Zach,Star
reference,1,C,N/A,2.3339999999007,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,46,2.41399999990244,0.12,Patient,0,Melissa Oval is stopping Kyle Square.,Melissa,Oval,Kyle,Square
reference,1,C,N/A,2.53999999989173,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,15,2.57999999988533,0.12,Agent,0,Kyle Square is balancing Melissa Oval.,Kyle,Square,Melissa,Oval
reference,1,C,13,2.70599999987462,0.12,Agent,1,Lily Triangle is being balanced by Kyle Square.,Kyle,Square,Lily,Triangle
reference,1,C,N/A,2.83199999986391,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,57,3.031999999861,0.12,Patient,1,Zach Star is being shaken by Melissa Oval.,Melissa,Oval,Zach,Star
reference,1,C,N/A,3.15799999985029,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,17,3.27799999984563,0.12,Patient,1,Zach Star is being stopped by Lily Triangle.,Lily,Triangle,Zach,Star
reference,1,C,N/A,3.40399999983492,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,25,3.56399999983842,0.12,Patient,0,Lily Triangle is shaking Kyle Square.,Lily,Triangle,Kyle,Square
reference,1,C,N/A,3.68999999982771,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,55,3.92999999983294,0.12,Agent,0,Melissa Oval is shaking Kyle Square.,Melissa,Oval,Kyle,Square
reference,1,C,N/A,4.05599999982223,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,10,4.09599999981583,0.12,Patient,0,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle
reference,1,C,N/A,4.22199999980512,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,7,4.26199999979872,0.12,Patient,1,Lily Triangle is being rolled by Kyle Square.,Kyle,Square,Lily,Triangle
reference,1,C,N/A,4.38799999978801,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,45,4.62799999979325,0.12,Patient,0,Zach Star is balancing Melissa Oval.,Zach,Star,Melissa,Oval
reference,1,C,N/A,4.75399999978254,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,55,4.83399999978428,0.12,Patient,0,Melissa Oval is shaking Kyle Square.,Melissa,Oval,Kyle,Square
reference,1,C,N/A,4.95999999977357,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,34,5.07999999976892,0.12,Agent,1,Kyle Square is being bounced by Zach Star.,Zach,Star,Kyle,Square
reference,1,C,N/A,5.20599999975821,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,37,5.2459999997518,0.12,Agent,1,Kyle Square is being rolled by Zach Star.,Zach,Star,Kyle,Square
reference,1,C,5,5.37199999974109,0.12,Agent,0,Kyle Square is bouncing Zach Star.,Kyle,Square,Zach,Star
reference,1,C,N/A,5.49799999973038,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,52,5.57799999973213,0.12,Patient,0,Melissa Oval is rolling Kyle Square.,Melissa,Oval,Kyle,Square
reference,1,C,N/A,5.70399999972142,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,50,5.74399999971502,0.12,Patient,0,Melissa Oval is bouncing Lily Triangle.,Melissa,Oval,Lily,Triangle
reference,1,C,N/A,5.86999999970431,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,49,5.9099999996979,0.12,Agent,1,Kyle Square is being bounced by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,1,C,N/A,6.03599999968719,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,39,6.15599999968254,0.12,Patient,1,Melissa Oval is being rolled by Zach Star.,Zach,Star,Melissa,Oval
reference,1,C,34,6.28199999967183,0.12,Patient,1,Kyle Square is being bounced by Zach Star.,Zach,Star,Kyle,Square
