SubjID,Run,Order,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
reference,1,E,0,0.12,Agent,0,Zach Star is bouncing Lily Triangle.,Zach,Star,Lily,Triangle
reference,1,E,0.126000000000204,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,0.20600000000195,0.12,Agent,0,Lily Triangle is stopping Melissa Oval.,Lily,Triangle,Melissa,Oval
reference,1,E,0.332000000002154,0.12,Patient,0,Zach Star is bouncing Lily Triangle.,Zach,Star,Lily,Triangle
reference,1,E,0.458000000002357,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,0.538000000004104,0.12,Agent,0,Lily Triangle is stopping Zach Star.,Lily,Triangle,Zach,Star
reference,1,E,0.664000000004307,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,0.784000000003289,0.12,Agent,1,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square
reference,1,E,0.910000000003492,0.12,Agent,0,Zach Star is balancing Kyle Square.,Zach,Star,Kyle,Square
reference,1,E,1.0360000000037,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,1.11600000000544,0.12,Patient,0,Lily Triangle is stopping Melissa Oval.,Lily,Triangle,Melissa,Oval
reference,1,E,1.24200000000565,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,1.32200000000739,0.12,Agent,1,Lily Triangle is being bounced by Kyle Square.,Kyle,Square,Lily,Triangle
reference,1,E,1.4480000000076,0.36,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,1.80800000000818,0.12,Agent,1,Zach Star is being balanced by Lily Triangle.,Lily,Triangle,Zach,Star
reference,1,E,1.93400000000838,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,1.97400000000926,0.12,Patient,0,Lily Triangle is stopping Zach Star.,Lily,Triangle,Zach,Star
reference,1,E,2.10000000000946,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,2.14000000001033,0.12,Patient,1,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square
reference,1,E,2.26600000001054,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,2.34600000001228,0.12,Patient,0,Zach Star is balancing Kyle Square.,Zach,Star,Kyle,Square
reference,1,E,2.47200000001249,0.12,Agent,1,Zach Star is being balanced by Kyle Square.,Kyle,Square,Zach,Star
reference,1,E,2.59800000001269,0.48,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,3.07800000001225,0.12,Patient,1,Lily Triangle is being bounced by Kyle Square.,Kyle,Square,Lily,Triangle
reference,1,E,3.20400000001246,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,3.24400000001333,0.12,Agent,1,Lily Triangle is being balanced by Kyle Square.,Kyle,Square,Lily,Triangle
reference,1,E,3.37000000001353,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,3.49000000001251,0.12,Patient,1,Zach Star is being balanced by Lily Triangle.,Lily,Triangle,Zach,Star
reference,1,E,3.61600000001272,0.12,Patient,1,Zach Star is being balanced by Kyle Square.,Kyle,Square,Zach,Star
reference,1,E,3.74200000001292,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,3.8620000000119,0.12,Agent,1,Lily Triangle is being bounced by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,1,E,3.98800000001211,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
