SubjID,Run,Order,ItemNumber,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
reference,2,C,13,0,0.12,Patient,0,Kyle Square is balancing Lily Triangle.,Kyle,Square,Lily,Triangle
reference,2,C,N/A,0.12599999998929,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,26,0.245999999984633,0.12,Agent,1,Zach Star is being shaken by Lily Triangle.,Lily,Triangle,Zach,Star
reference,2,C,N/A,0.371999999973923,0.52,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,37,0.891999999977998,0.12,Agent,0,Zach Star is rolling Kyle Square.,Zach,Star,Kyle,Square
reference,2,C,N/A,1.01799999996729,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,48,1.05799999996088,0.12,Agent,0,Melissa Oval is stopping Zach Star.,Melissa,Oval,Zach,Star
reference,2,C,N/A,1.18399999995017,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,44,1.30399999994552,0.12,Patient,0,Zach Star is balancing Lily Triangle.,Zach,Star,Lily,Triangle
reference,2,C,N/A,1.42999999993481,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,39,1.6299999999319,0.12,Agent,0,Zach Star is rolling Melissa Oval.,Zach,Star,Melissa,Oval
reference,2,C,N/A,1.75599999992119,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,27,1.87599999991653,0.12,Agent,1,Melissa Oval is being shaken by Lily Triangle.,Lily,Triangle,Melissa,Oval
reference,2,C,N/A,2.00199999990582,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,53,2.04199999989942,0.12,Agent,1,Lily Triangle is being rolled by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,2,C,N/A,2.16799999988871,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,59,2.3279999998922,0.12,Patient,1,Lily Triangle is being balanced by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,2,C,N/A,2.45399999988149,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,55,2.53399999988324,0.12,Agent,1,Kyle Square is being shaken by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,2,C,36,2.65999999987253,0.12,Patient,1,Melissa Oval is being bounced by Zach Star.,Zach,Star,Melissa,Oval
reference,2,C,N/A,2.78599999986182,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,13,2.86599999986356,0.12,Agent,0,Kyle Square is balancing Lily Triangle.,Kyle,Square,Lily,Triangle
reference,2,C,18,2.99199999985285,0.12,Agent,0,Lily Triangle is stopping Melissa Oval.,Lily,Triangle,Melissa,Oval
reference,2,C,N/A,3.11799999984214,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,17,3.31799999983923,0.12,Agent,0,Lily Triangle is stopping Zach Star.,Lily,Triangle,Zach,Star
reference,2,C,N/A,3.44399999982852,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,54,3.56399999982386,0.12,Agent,1,Zach Star is being rolled by Melissa Oval.,Melissa,Oval,Zach,Star
reference,2,C,N/A,3.68999999981315,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,23,3.72999999980675,0.12,Agent,1,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star
reference,2,C,N/A,3.85599999979604,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,32,3.97599999979138,0.12,Patient,1,Lily Triangle is being stopped by Zach Star.,Zach,Star,Lily,Triangle
reference,2,C,N/A,4.10199999978067,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,45,4.26199999978417,0.12,Patient,1,Melissa Oval is being balanced by Zach Star.,Zach,Star,Melissa,Oval
reference,2,C,N/A,4.38799999977346,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,56,4.58799999977055,0.12,Agent,0,Melissa Oval is shaking Lily Triangle.,Melissa,Oval,Lily,Triangle
reference,2,C,N/A,4.71399999975984,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,47,4.75399999975343,0.12,Agent,0,Melissa Oval is stopping Lily Triangle.,Melissa,Oval,Lily,Triangle
reference,2,C,N/A,4.87999999974272,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,43,4.95999999974447,0.12,Patient,0,Zach Star is balancing Kyle Square.,Zach,Star,Kyle,Square
reference,2,C,N/A,5.08599999973376,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,41,5.24599999973725,0.12,Agent,0,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle
reference,2,C,N/A,5.37199999972654,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,35,5.49199999972188,0.12,Patient,0,Zach Star is bouncing Lily Triangle.,Zach,Star,Lily,Triangle
reference,2,C,20,5.61799999971117,0.12,Patient,1,Zach Star is being bounced by Lily Triangle.,Lily,Triangle,Zach,Star
reference,2,C,N/A,5.74399999970046,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,20,5.78399999969406,0.12,Agent,1,Zach Star is being bounced by Lily Triangle.,Lily,Triangle,Zach,Star
reference,2,C,N/A,5.90999999968335,0.52,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,6,6.42999999968742,0.12,Agent,1,Melissa Oval is being bounced by Kyle Square.,Kyle,Square,Melissa,Oval
reference,2,C,25,6.55599999967671,0.12,Patient,1,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square
reference,2,C,N/A,6.681999999666,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,37,6.80199999966135,0.12,Patient,0,Zach Star is rolling Kyle Square.,Zach,Star,Kyle,Square
reference,2,C,N/A,6.92799999965064,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,21,6.96799999964423,0.12,Patient,1,Melissa Oval is being bounced by Lily Triangle.,Lily,Triangle,Melissa,Oval
reference,2,C,N/A,7.09399999963352,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,29,7.21399999962887,0.12,Agent,1,Zach Star is being balanced by Lily Triangle.,Lily,Triangle,Zach,Star
reference,2,C,32,7.33999999961816,0.12,Agent,1,Lily Triangle is being stopped by Zach Star.,Zach,Star,Lily,Triangle
reference,2,C,N/A,7.46599999960745,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,10,7.50599999960104,0.12,Agent,1,Lily Triangle is being shaken by Kyle Square.,Kyle,Square,Lily,Triangle
reference,2,C,N/A,7.63199999959033,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,28,7.75199999958568,0.12,Patient,0,Lily Triangle is balancing Kyle Square.,Lily,Triangle,Kyle,Square
reference,2,C,28,7.87799999957497,0.12,Agent,0,Lily Triangle is balancing Kyle Square.,Lily,Triangle,Kyle,Square
reference,2,C,N/A,8.00399999956426,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,21,8.083999999566,0.12,Agent,1,Melissa Oval is being bounced by Lily Triangle.,Lily,Triangle,Melissa,Oval
reference,2,C,N/A,8.20999999955529,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,52,8.28999999955704,0.12,Agent,1,Kyle Square is being rolled by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,2,C,N/A,8.41599999954633,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,3,8.53599999954167,0.12,Agent,0,Kyle Square is stopping Melissa Oval.,Kyle,Square,Melissa,Oval
reference,2,C,16,8.66199999953096,0.12,Agent,1,Kyle Square is being stopped by Lily Triangle.,Lily,Triangle,Kyle,Square
reference,2,C,31,8.78799999952025,0.12,Agent,1,Kyle Square is being stopped by Zach Star.,Zach,Star,Kyle,Square
reference,2,C,N/A,8.91399999950954,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,44,8.95399999950314,0.12,Agent,0,Zach Star is balancing Lily Triangle.,Zach,Star,Lily,Triangle
reference,2,C,N/A,9.07999999949243,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,58,9.23999999949592,0.12,Patient,1,Kyle Square is being balanced by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,2,C,N/A,9.36599999948521,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,57,9.40599999947881,0.12,Agent,0,Melissa Oval is shaking Zach Star.,Melissa,Oval,Zach,Star
reference,2,C,N/A,9.5319999994681,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,1,9.5719999994617,0.12,Patient,0,Kyle Square is stopping Lily Triangle.,Kyle,Square,Lily,Triangle
reference,2,C,N/A,9.69799999945099,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,5,9.77799999945273,0.12,Agent,1,Zach Star is being bounced by Kyle Square.,Kyle,Square,Zach,Star
reference,2,C,N/A,9.90399999944202,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,34,10.0239999994374,0.12,Agent,0,Zach Star is bouncing Kyle Square.,Zach,Star,Kyle,Square
reference,2,C,N/A,10.1499999994267,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,19,10.2299999994284,0.12,Patient,1,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square
reference,2,C,N/A,10.3559999994177,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,48,10.5559999994148,0.12,Patient,0,Melissa Oval is stopping Zach Star.,Melissa,Oval,Zach,Star
reference,2,C,N/A,10.6819999994041,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,30,10.7219999993977,0.12,Patient,0,Lily Triangle is balancing Melissa Oval.,Lily,Triangle,Melissa,Oval
reference,2,C,N/A,10.847999999387,0.28,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,12,11.1279999993858,0.12,Agent,0,Kyle Square is shaking Melissa Oval.,Kyle,Square,Melissa,Oval
reference,2,C,N/A,11.2539999993751,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,25,11.3739999993704,0.12,Agent,1,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square
reference,2,C,9,11.4999999993597,0.12,Agent,0,Kyle Square is rolling Melissa Oval.,Kyle,Square,Melissa,Oval
reference,2,C,N/A,11.625999999349,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,51,11.7459999993443,0.12,Agent,0,Melissa Oval is bouncing Zach Star.,Melissa,Oval,Zach,Star
reference,2,C,N/A,11.8719999993336,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,24,12.0319999993371,0.12,Patient,0,Lily Triangle is rolling Melissa Oval.,Lily,Triangle,Melissa,Oval
reference,2,C,N/A,12.1579999993264,0.56,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,14,12.7179999993241,0.12,Patient,1,Zach Star is being balanced by Kyle Square.,Kyle,Square,Zach,Star
reference,2,C,N/A,12.8439999993134,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,55,12.9639999993087,0.12,Patient,1,Kyle Square is being shaken by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,2,C,N/A,13.089999999298,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,26,13.3299999993033,0.12,Patient,1,Zach Star is being shaken by Lily Triangle.,Lily,Triangle,Zach,Star
reference,2,C,N/A,13.4559999992925,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,12,13.5359999992943,0.12,Patient,0,Kyle Square is shaking Melissa Oval.,Kyle,Square,Melissa,Oval
reference,2,C,39,13.6619999992836,0.12,Patient,0,Zach Star is rolling Melissa Oval.,Zach,Star,Melissa,Oval
reference,2,C,N/A,13.7879999992729,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,46,13.9079999992682,0.12,Patient,1,Kyle Square is being stopped by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,2,C,N/A,14.0339999992575,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,22,14.1139999992592,0.12,Patient,1,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square
reference,2,C,N/A,14.2399999992485,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,14,14.2799999992421,0.12,Agent,1,Zach Star is being balanced by Kyle Square.,Kyle,Square,Zach,Star
reference,2,C,N/A,14.4059999992314,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,43,14.445999999225,0.12,Agent,0,Zach Star is balancing Kyle Square.,Zach,Star,Kyle,Square
reference,2,C,10,14.5719999992143,0.12,Patient,1,Lily Triangle is being shaken by Kyle Square.,Kyle,Square,Lily,Triangle
reference,2,C,N/A,14.6979999992036,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,46,14.8179999991989,0.12,Agent,1,Kyle Square is being stopped by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,2,C,51,14.9439999991882,0.12,Patient,0,Melissa Oval is bouncing Zach Star.,Melissa,Oval,Zach,Star
reference,2,C,N/A,15.0699999991775,0.4,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,34,15.4699999991717,0.12,Patient,0,Zach Star is bouncing Kyle Square.,Zach,Star,Kyle,Square
reference,2,C,22,15.595999999161,0.12,Agent,1,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square
reference,2,C,N/A,15.7219999991503,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,19,15.9219999991474,0.12,Agent,1,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square
reference,2,C,N/A,16.0479999991367,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,50,16.167999999132,0.12,Agent,1,Lily Triangle is being bounced by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,2,C,N/A,16.2939999991213,0.36,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
