LIST_NUM,COND,COND_markingSameDiff,CONSTR,ItemNum_withinconstr,ItemNum,TYPE1,TYPE1_sameconstr,TYPE2,TYPE3,ANS,SENTENCE1,SENTENCE2
1,ActPas_SEM,ActPas_SEM_DIFF,ActPass,4,4,active,1,occ-name,verb_switch,DIF,The bystander overheard James.,The bystander questioned James.
1,ActPas_SEM,ActPas_SEM_DIFF,ActPass,8,8,active,1,occ-name,verb_switch,DIF,The electrician interrogated Robert.,The electrician paid Robert.
1,ActPas_SEM,ActPas_SEM_DIFF,ActPass,12,12,active,1,occ-name,noun_switch,DIF,The courier belittled William.,The intern belittled William.
1,ActPas_SEM,ActPas_SEM_DIFF,ActPass,16,16,active,1,occ-name,verb_switch,DIF,The florist employed George.,The florist telephoned George.
1,ActPas_SEM,ActPas_SEM_DIFF,ActPass,20,20,active,1,occ-name,noun_switch,DIF,The performer drew Joseph.,The songwriter drew Joseph.
1,ActPas_SEM,ActPas_SEM_DIFF,ActPass,24,24,passive,1,occ-name,verb_switch,DIF,The prisoner was seen by Nancy.,The prisoner was saved by Nancy.
1,ActPas_SEM,ActPas_SEM_DIFF,ActPass,28,28,passive,1,occ-name,verb_switch,DIF,The pop-star was rushed by Lauren.,The pop-star was painted by Lauren.
1,ActPas_SEM,ActPas_SEM_DIFF,ActPass,32,32,passive,1,occ-name,noun_switch,DIF,The housekeeper was thanked by Sandra.,The speaker was thanked by Sandra.
1,ActPas_SEM,ActPas_SEM_DIFF,ActPass,36,36,passive,1,occ-name,verb_switch,DIF,The repairman was chastised by Kenneth.,The repairman was enraged by Kenneth.
1,ActPas_SEM,ActPas_SEM_DIFF,ActPass,40,40,passive,1,occ-name,noun_switch,DIF,The sailor was helped by Thomas.,The anchorman was helped by Thomas.
1,ActPas_SEM,ActPas_SEM_SAME,ActPass,1,1,active,1,name-occ,noun_synon,SAME,Anna invited the composer.,Anna invited the songwriter.
1,ActPas_SEM,ActPas_SEM_SAME,ActPass,5,5,active,1,name-occ,noun_synon,SAME,Patricia praised the magician.,Patricia praised the illusionist.
1,ActPas_SEM,ActPas_SEM_SAME,ActPass,9,9,active,1,name-occ,verb_synon,SAME,Barbara angered the pharmacist.,Barbara enraged the pharmacist.
1,ActPas_SEM,ActPas_SEM_SAME,ActPass,13,13,active,1,name-occ,noun_synon,SAME,Jennifer criticized the secretary.,Jennifer criticized the receptionist.
1,ActPas_SEM,ActPas_SEM_SAME,ActPass,17,17,active,1,name-occ,verb_synon,SAME,Susan cautioned the waiter.,Susan warned the waiter.
1,ActPas_SEM,ActPas_SEM_SAME,ActPass,21,21,passive,1,name-occ,noun_synon,SAME,Dorothy was respected by the attorney.,Dorothy was respected by the lawyer.
1,ActPas_SEM,ActPas_SEM_SAME,ActPass,25,25,passive,1,name-occ,noun_synon,SAME,Christopher was convinced by the vocalist.,Christopher was convinced by the singer.
1,ActPas_SEM,ActPas_SEM_SAME,ActPass,29,29,passive,1,name-occ,verb_synon,SAME,Paul was blamed by the playwright.,Paul was accused by the playwright.
1,ActPas_SEM,ActPas_SEM_SAME,ActPass,33,33,passive,1,name-occ,noun_synon,SAME,Ruth was congratulated by the newscaster.,Ruth was congratulated by the anchorman.
1,ActPas_SEM,ActPas_SEM_SAME,ActPass,37,37,passive,1,name-occ,verb_synon,SAME,Carol was chosen by the banker.,Carol was selected by the banker.
1,ActPas_SYNT,ActPas_SYNT_DIFF,ActPass,2,2,active,1,occ-name,NA,DIF,The orator consulted Jack.,Jack consulted the orator.
1,ActPas_SYNT,ActPas_SYNT_DIFF,ActPass,6,6,active,1,occ-name,NA,DIF,The comedian ridiculed John.,John ridiculed the comedian.
1,ActPas_SYNT,ActPas_SYNT_DIFF,ActPass,10,10,active,1,occ-name,NA,DIF,The watchmaker compensated Michael.,Michael compensated the watchmaker.
1,ActPas_SYNT,ActPas_SYNT_DIFF,ActPass,14,14,active,0,occ-name,NA,DIF,The scientist flattered David.,The scientist was flattered by David.
1,ActPas_SYNT,ActPas_SYNT_DIFF,ActPass,18,18,active,0,occ-name,NA,DIF,The politician killed Charles.,The politician was killed by Charles.
1,ActPas_SYNT,ActPas_SYNT_DIFF,ActPass,22,22,passive,0,occ-name,NA,DIF,The bricklayer was complimented by Sharon.,The bricklayer complimented Sharon.
1,ActPas_SYNT,ActPas_SYNT_DIFF,ActPass,26,26,passive,0,occ-name,NA,DIF,The consultant was welcomed by Karen.,The consultant welcomed Karen.
1,ActPas_SYNT,ActPas_SYNT_DIFF,ActPass,30,30,passive,0,occ-name,NA,DIF,The novelist was pushed by Helen.,The novelist pushed Helen.
1,ActPas_SYNT,ActPas_SYNT_DIFF,ActPass,34,34,passive,1,occ-name,NA,DIF,The demonstrator was quoted by Donna.,Donna was quoted by the demonstrator.
1,ActPas_SYNT,ActPas_SYNT_DIFF,ActPass,38,38,passive,1,occ-name,NA,DIF,The barber was found by Steven.,Steven was found by the barber.
1,ActPas_SYNT,ActPas_SYNT_SAME,ActPass,3,3,active,0,name-occ,NA,SAME,Mary visited the principal.,The principal was visited by Mary.
1,ActPas_SYNT,ActPas_SYNT_SAME,ActPass,7,7,active,0,name-occ,NA,SAME,Linda rescued the volunteer.,The volunteer was rescued by Linda.
1,ActPas_SYNT,ActPas_SYNT_SAME,ActPass,11,11,active,0,name-occ,NA,SAME,Elizabeth disliked the proprietor.,The proprietor was disliked by Elizabeth.
1,ActPas_SYNT,ActPas_SYNT_SAME,ActPass,15,15,active,0,name-occ,NA,SAME,Maria trusted the interpreter.,The interpreter was trusted by Maria.
1,ActPas_SYNT,ActPas_SYNT_SAME,ActPass,19,19,active,0,name-occ,NA,SAME,Margaret misinformed the sponsor.,The sponsor was misinformed by Margaret.
1,ActPas_SYNT,ActPas_SYNT_SAME,ActPass,23,23,passive,0,name-occ,NA,SAME,Lisa was discouraged by the spy.,The spy discouraged Lisa.
1,ActPas_SYNT,ActPas_SYNT_SAME,ActPass,27,27,passive,0,name-occ,NA,SAME,Daniel was called by the decorator.,The decorator called Daniel.
1,ActPas_SYNT,ActPas_SYNT_SAME,ActPass,31,31,passive,0,name-occ,NA,SAME,Mark was encouraged by the apprentice.,The apprentice encouraged Mark.
1,ActPas_SYNT,ActPas_SYNT_SAME,ActPass,35,35,passive,0,name-occ,NA,SAME,Richard was noticed by the thief.,The thief noticed Richard.
1,ActPas_SYNT,ActPas_SYNT_SAME,ActPass,39,39,passive,0,name-occ,NA,SAME,Mark was hugged by the cashier.,The cashier hugged Mark.
1,DOPP_SEM,DOPP_SEM_DIFF,DOPP,4,44,DblObj,1,occ-name,obj_switch,DIF,The professor loaned Joshua a dictionary,The professor loaned Joshua a periodical.
