Onset,Duration,Condition
0,6,DOPP_SEM_DIFF
6,2,NULL
8,6,DOPP_SYNT_DIFF
14,2,NULL
16,6,ActPas_SEM_DIFF
22,4,NULL
26,6,DOPP_SEM_DIFF
32,6,DOPP_SEM_DIFF
38,2,NULL
40,6,DOPP_SEM_DIFF
46,2,NULL
48,6,ActPas_SEM_SAME
54,6,NULL
60,6,ActPas_SEM_DIFF
66,6,NULL
72,6,ActPas_SYNT_SAME
78,6,NULL
84,6,ActPas_SYNT_SAME
90,6,DOPP_SYNT_DIFF
96,6,DOPP_SEM_SAME
102,2,NULL
104,6,DOPP_SEM_DIFF
110,6,ActPas_SYNT_DIFF
116,4,NULL
120,6,ActPas_SYNT_SAME
126,4,NULL
130,6,DOPP_SYNT_DIFF
136,4,NULL
140,6,ActPas_SEM_SAME
146,4,NULL
150,6,ActPas_SYNT_SAME
156,2,NULL
158,6,DOPP_SEM_SAME
164,6,DOPP_SEM_SAME
170,6,ActPas_SYNT_SAME
176,6,ActPas_SEM_SAME
182,6,NULL
188,6,DOPP_SEM_SAME
194,6,ActPas_SEM_SAME
200,8,NULL
208,6,DOPP_SEM_SAME
214,6,DOPP_SYNT_DIFF
220,2,NULL
222,6,DOPP_SYNT_SAME
228,2,NULL
230,6,DOPP_SYNT_DIFF
236,4,NULL
240,6,DOPP_SYNT_SAME
246,6,NULL
252,6,ActPas_SEM_DIFF
258,4,NULL
262,6,DOPP_SYNT_SAME
268,6,DOPP_SYNT_SAME
274,2,NULL
276,6,ActPas_SYNT_DIFF
282,4,NULL
286,6,ActPas_SEM_SAME
292,2,NULL
294,6,ActPas_SYNT_DIFF
300,6,NULL
306,6,ActPas_SYNT_DIFF
312,8,NULL
320,6,DOPP_SYNT_SAME
326,6,ActPas_SEM_DIFF
332,6,ActPas_SEM_DIFF
338,6,NULL
344,6,ActPas_SYNT_DIFF
350,10,NULL
