SubjID,List,Run,Order,TrialNum,ItemNum,Condition,Type1,Type1_sameconstr,Type2,Type3,Onset,Response,RT,Correctness
debug,1,1,1,1,60,DOPP_SEM_DIFF,DblObj,1,occ-name,occup_switch,0,0,0,0
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,0.600000000005821,NA,NA,NA
debug,1,1,1,2,70,DOPP_SYNT_DIFF,PP,1,occ-name,NA,0.800000000017462,0,0,0
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,1.40000000002328,NA,NA,NA
debug,1,1,1,3,24,ActPas_SEM_DIFF,passive,1,occ-name,verb_switch,1.60000000003492,0,0,0
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,2.20000000004075,NA,NA,NA
debug,1,1,1,4,48,DOPP_SEM_DIFF,DblObj,1,occ-name,obj_switch,2.60000000003492,1,0.000218074244912714,0
debug,1,1,1,5,44,DOPP_SEM_DIFF,DblObj,1,occ-name,obj_switch,3.20000000004075,1,0.000201876711798832,0
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,3.80000000004657,NA,NA,NA
debug,1,1,1,6,68,DOPP_SEM_DIFF,PP,1,occ-name,obj_switch,4.00000000005821,2,0.0113153669517487,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,4.60000000006403,NA,NA,NA
debug,1,1,1,7,21,ActPas_SEM_SAME,passive,1,name-occ,noun_synon,4.80000000007567,1,0.00020385198877193,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,5.40000000008149,NA,NA,NA
debug,1,1,1,8,12,ActPas_SEM_DIFF,active,1,occ-name,noun_switch,6.00000000008731,1,0.000198716210434213,0
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,6.60000000009313,NA,NA,NA
debug,1,1,1,9,7,ActPas_SYNT_SAME,active,0,name-occ,NA,7.20000000009895,1,0.000200296461116523,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,7.80000000010477,NA,NA,NA
debug,1,1,1,10,39,ActPas_SYNT_SAME,passive,0,name-occ,NA,8.40000000011059,1,0.000204247073270381,1
