Onset,Duration,Condition
0,6,DOPP_SYNT_DIFF
6,6,NULL
12,6,ActPas_SYNT_DIFF
18,6,DOPP_SEM_DIFF
24,6,ActPas_SYNT_DIFF
30,6,ActPas_SEM_SAME
36,2,NULL
38,6,ActPas_SYNT_SAME
44,6,DOPP_SEM_SAME
50,4,NULL
54,6,ActPas_SYNT_DIFF
60,2,NULL
62,6,ActPas_SEM_DIFF
68,4,NULL
72,6,ActPas_SYNT_SAME
78,2,NULL
80,6,ActPas_SEM_SAME
86,4,NULL
90,6,DOPP_SEM_SAME
96,2,NULL
98,6,DOPP_SYNT_SAME
104,4,NULL
108,6,ActPas_SEM_DIFF
114,6,NULL
120,6,DOPP_SYNT_SAME
126,2,NULL
128,6,DOPP_SYNT_DIFF
134,2,NULL
136,6,ActPas_SEM_DIFF
142,6,DOPP_SEM_SAME
148,2,NULL
150,6,ActPas_SYNT_SAME
156,2,NULL
158,6,DOPP_SEM_DIFF
164,4,NULL
168,6,DOPP_SYNT_SAME
174,4,NULL
178,6,ActPas_SYNT_SAME
184,10,NULL
194,6,ActPas_SEM_DIFF
200,4,NULL
204,6,ActPas_SEM_SAME
210,2,NULL
212,6,DOPP_SEM_DIFF
218,6,DOPP_SYNT_SAME
224,6,ActPas_SEM_SAME
230,6,NULL
236,6,ActPas_SYNT_SAME
242,6,DOPP_SYNT_SAME
248,12,NULL
260,6,DOPP_SEM_DIFF
266,6,DOPP_SEM_SAME
272,6,ActPas_SEM_SAME
278,6,ActPas_SEM_DIFF
284,8,NULL
292,6,DOPP_SYNT_DIFF
298,4,NULL
302,6,DOPP_SYNT_DIFF
308,6,ActPas_SYNT_DIFF
314,4,NULL
318,6,ActPas_SYNT_DIFF
324,12,NULL
336,6,DOPP_SEM_SAME
342,6,DOPP_SYNT_DIFF
348,6,DOPP_SEM_DIFF
354,6,NULL
